algorithm,seed,year,count
random,54425,1979,252
random,54425,1980,256
random,54425,1981,331
random,54425,1982,315
random,54425,1983,316
random,54425,1984,309
random,54425,1985,404
random,54425,1986,429
random,54425,1987,494
random,54425,1988,526
random,54425,1989,510
random,54425,1990,488
random,54425,1991,499
random,54425,1992,516
random,54425,1993,681
random,54425,1994,819
random,54425,1995,820
random,54425,1996,1000
random,54425,1997,880
random,54425,1998,848
random,54425,1999,851
random,54425,2000,920
random,54425,2001,913
random,54425,2002,944
random,54425,2003,891
random,54425,2004,938
random,54425,2005,894
random,54425,2006,888
random,54425,2007,1009
random,54425,2008,995
random,54425,2009,948
random,54425,2010,811
random,54425,2011,871
random,54425,2012,754
random,54425,2013,767
random,54425,2014,765
random,54425,2015,865
random,54425,2016,717
random,54425,2017,80
random,54425,2018,9
random,54425,2019,1
random,954358,1902,1
random,954358,1903,3
random,954358,1915,3
random,954358,1916,5
random,954358,1917,5
random,954358,1918,5
random,954358,1919,7
random,954358,1920,5
random,954358,1921,8
random,954358,1922,10
random,954358,1923,7
random,954358,1924,16
random,954358,1925,22
random,954358,1926,11
random,954358,1927,24
random,954358,1928,17
random,954358,1929,22
random,954358,1930,10
random,954358,1931,40
random,954358,1932,42
random,954358,1933,37
random,954358,1934,35
random,954358,1935,35
random,954358,1936,47
random,954358,1937,66
random,954358,1938,38
random,954358,1939,93
random,954358,1940,58
random,954358,1941,75
random,954358,1942,66
random,954358,1943,54
random,954358,1944,66
random,954358,1945,61
random,954358,1946,75
random,954358,1947,66
random,954358,1948,89
random,954358,1949,106
random,954358,1950,75
random,954358,1951,71
random,954358,1952,74
random,954358,1953,120
random,954358,1954,80
random,954358,1955,139
random,954358,1956,100
random,954358,1957,117
random,954358,1958,97
random,954358,1959,132
random,954358,1960,135
random,954358,1961,106
random,954358,1962,153
random,954358,1963,127
random,954358,1964,133
random,954358,1965,168
random,954358,1966,154
random,954358,1967,130
random,954358,1968,140
random,954358,1969,141
random,954358,1970,134
random,954358,1971,191
random,954358,1972,205
random,954358,1973,185
random,954358,1974,163
random,954358,1975,151
random,954358,1976,162
random,954358,1977,221
random,954358,1978,228
random,954358,1979,236
random,954358,1980,330
random,954358,1981,359
random,954358,1982,310
random,954358,1983,301
random,954358,1984,334
random,954358,1985,412
